City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
363,Kachiry,KZ,76.42,clear sky,53.07,76.1,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
364,Mahajanga,MG,71.6,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
368,Biltine,TD,82.58,clear sky,14.53,20.92,Hôtel Trois Étoiles de Biltine
369,Mitu,CO,72.37,few clouds,1.2,-70.17,
370,Grand-Santi,GF,73.18,overcast clouds,4.25,-54.38,Hotel La Villa Couacou
372,Gewane,ET,83.14,clear sky,10.17,40.65,
376,Kuraymah,SD,76.84,clear sky,18.55,31.85,Nubian House
378,Ciudad Bolivar,VE,79.93,clear sky,8.12,-63.55,Hotel Edi
381,Batticaloa,LK,86.22,overcast clouds,7.71,81.69,Grand Star Guest House
387,Cravo Norte,CO,79.32,scattered clouds,6.3,-70.2,Hotel El Puerto
388,Witu,KE,76.08,light rain,-2.39,40.44,
391,San Andres,CO,84.2,broken clouds,12.58,-81.7,Hotel Arena Blanca
396,Halvad,IN,89.87,clear sky,23.02,71.18,Pop ciling
398,La Asuncion,VE,78.8,few clouds,11.03,-63.86,Colinas de Matasiete
399,Bull Savanna,JM,74.93,overcast clouds,17.89,-77.59,Big Red's
400,Muromtsevo,RU,76.35,clear sky,56.37,75.24,Plyazh U Reki Tara
401,Padang,ID,88.56,overcast clouds,-0.95,100.35,Mercure Padang
404,Pitimbu,BR,75.2,few clouds,-7.47,-34.81,Reserva do Abiaí
405,Oussouye,SN,73.4,broken clouds,12.48,-16.55,Auberge du Routard
406,Manta,EC,78.8,broken clouds,-0.95,-80.73,Balandra Hotel
407,Mana,GF,77.88,moderate rain,5.66,-53.78,LE SAMANA
409,Marawi,PH,84.99,moderate rain,8.0,124.29,Derogongan Residence
410,Pizarro,CO,79.18,light rain,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
411,Bari Sadri,IN,87.8,clear sky,24.42,74.47,Roop Lal House
413,Carnarvon,AU,77.45,clear sky,-24.87,113.63,Hospitality Carnarvon
415,George Town,MY,87.8,few clouds,5.41,100.34,Cititel Penang
416,Pindiga,NG,77.41,few clouds,9.98,10.93,Accommodation Center
417,Nara,JP,81.0,few clouds,34.69,135.8,Guesthouse Nara Komachi
420,Mora,CM,86.22,broken clouds,11.05,14.14,Hotel Emergence
421,Adeje,ES,70.0,broken clouds,28.12,-16.73,Gran Tacande Wellness & Relax Costa Adeje
426,Santa Cruz Del Sur,CU,80.87,light rain,20.71,-78.0,
427,Quatre Cocos,MU,73.4,broken clouds,-20.21,57.76,Veranda Palmar Beach Hotel
430,Sao Felix Do Xingu,BR,71.8,overcast clouds,-6.64,-51.99,Apart Hotel Rio Xingu
432,Bengkulu,ID,87.04,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
433,Wagar,SD,80.87,scattered clouds,16.15,36.2,
440,Gaoual,GN,77.43,scattered clouds,11.75,-13.2,Hotel koliba
441,Wad Rawah,SD,82.4,broken clouds,15.16,33.14,ود الترابي
443,Pokhara,NP,80.53,overcast clouds,28.23,83.98,Hotel View Point
448,Mogadishu,SO,78.8,scattered clouds,2.04,45.34,Hotel Juba
449,Kibala,TD,84.2,few clouds,9.11,18.35,
453,Marti,CU,71.6,overcast clouds,22.95,-80.92,
457,Umm Lajj,SA,75.78,clear sky,25.02,37.27,Tanal Hotel Apartment
458,Mozarlandia,BR,71.15,clear sky,-14.74,-50.57,Hotel Santa Mônica
463,Teguldet,RU,79.03,clear sky,57.31,88.17,Gostinitsa Kedr
