City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
77,Mar Del Plata,-38.0,-57.56,55.99,81,2,6.93,AR,2020-05-11 04:12:01,clear sky,0.0,0.0
78,Karpathos,35.51,27.21,66.2,42,59,4.7,GR,2020-05-11 04:15:21,broken clouds,0.0,0.0
79,Senneterre,48.38,-77.23,26.6,79,90,12.75,CA,2020-05-11 04:12:14,light snow,0.0,0.0
80,Adrar,20.5,-10.07,81.55,17,1,11.65,MR,2020-05-11 04:15:22,clear sky,0.0,0.0
81,Luanda,-8.84,13.23,78.8,94,75,1.9,AO,2020-05-11 04:15:22,broken clouds,0.0,0.0
82,Hithadhoo,-0.6,73.08,85.48,77,78,11.63,MV,2020-05-11 04:15:22,light rain,0.0,0.0
83,Raudeberg,61.99,5.14,36.0,88,97,3.89,NO,2020-05-11 04:15:22,overcast clouds,0.0,0.0
84,Victoria,22.29,114.16,89.01,62,27,5.99,HK,2020-05-11 04:13:05,light rain,0.0,0.0
85,Krasnoselkup,65.7,82.47,45.64,77,10,7.65,RU,2020-05-11 04:15:23,clear sky,0.0,0.0
86,Imbituba,-28.24,-48.67,68.0,88,21,8.05,BR,2020-05-11 04:15:23,few clouds,0.0,0.0
87,Busselton,-33.65,115.33,71.01,47,69,4.12,AU,2020-05-11 04:15:23,broken clouds,0.0,0.0
88,Camacha,33.08,-16.33,62.6,72,20,13.87,PT,2020-05-11 04:14:45,few clouds,0.0,0.0
89,Luderitz,-26.65,15.16,66.2,45,0,6.93,NA,2020-05-11 04:15:24,clear sky,0.0,0.0
90,Jalu,29.03,21.55,69.04,23,6,10.67,LY,2020-05-11 04:15:24,clear sky,0.0,0.0
91,Varhaug,58.61,5.65,39.2,69,20,10.29,NO,2020-05-11 04:15:24,few clouds,0.0,0.0
92,Paraopeba,-19.28,-44.4,57.2,76,0,6.93,BR,2020-05-11 04:15:24,clear sky,0.0,0.0
93,Saint Anthony,45.02,-93.22,46.4,42,90,9.17,US,2020-05-11 04:11:45,overcast clouds,0.0,0.0
94,Bokoro,12.38,17.06,81.36,14,7,4.68,TD,2020-05-11 04:15:25,clear sky,0.0,0.0
95,Mopti,14.67,-4.0,89.6,43,6,13.87,ML,2020-05-11 04:15:25,clear sky,0.0,0.0
96,Kiruna,67.86,20.23,26.6,68,97,10.29,SE,2020-05-11 04:15:26,overcast clouds,0.0,0.0
97,Buchanan,5.88,-10.05,79.34,86,100,8.34,LR,2020-05-11 04:15:26,overcast clouds,0.0,0.0
98,Pisco,-13.7,-76.22,66.2,82,19,5.82,PE,2020-05-11 04:13:47,mist,0.0,0.0
99,Ilulissat,69.22,-51.1,28.4,86,98,3.36,GL,2020-05-11 04:15:27,overcast clouds,0.0,0.0
100,Mineros,-17.12,-63.23,71.6,83,40,13.87,BO,2020-05-11 04:15:27,scattered clouds,0.0,0.0
101,Longyearbyen,78.22,15.64,19.4,62,40,3.36,SJ,2020-05-11 04:14:17,scattered clouds,0.0,0.0
102,Bambous Virieux,-20.34,57.76,73.4,56,75,11.41,MU,2020-05-11 04:15:28,broken clouds,0.0,0.0
103,Doha,25.29,51.53,87.8,43,45,17.22,QA,2020-05-11 04:14:12,dust,0.0,0.0
104,Qaqortoq,60.72,-46.03,57.2,33,54,16.11,GL,2020-05-11 04:15:28,broken clouds,0.0,0.0
105,Caravelas,-17.71,-39.25,69.73,79,10,4.07,BR,2020-05-11 04:14:25,clear sky,0.0,0.0
106,Voyvozh,62.89,54.96,47.41,88,98,6.62,RU,2020-05-11 04:15:28,overcast clouds,0.0,0.0
107,Mayumba,-3.43,10.66,76.57,87,98,3.47,GA,2020-05-11 04:15:28,overcast clouds,0.0,0.0
108,Cururupu,-1.83,-44.87,74.84,94,21,2.08,BR,2020-05-11 04:14:29,few clouds,0.0,0.0
109,Mwene-Ditu,-7.0,23.45,63.9,95,32,4.56,CD,2020-05-11 04:15:29,scattered clouds,0.0,0.0
110,Embonas,36.23,27.86,62.6,63,11,3.36,GR,2020-05-11 04:15:29,few clouds,0.0,0.0
111,Fivizzano,44.24,10.13,57.99,99,100,3.2,IT,2020-05-11 04:15:29,moderate rain,0.0,0.0
112,Oytal,42.91,73.27,70.45,44,7,3.15,KZ,2020-05-11 04:15:30,clear sky,0.0,0.0
113,Sao Mateus,-18.72,-39.86,64.56,80,27,3.71,BR,2020-05-11 04:15:30,scattered clouds,0.0,0.0
114,Maamba,-17.37,27.15,56.77,74,50,1.12,ZM,2020-05-11 04:15:30,scattered clouds,0.0,0.0
115,Kpandu,7.0,0.29,76.68,86,100,4.56,GH,2020-05-11 04:15:31,overcast clouds,0.0,0.0
116,Atasu,48.68,71.64,71.92,42,42,3.15,KZ,2020-05-11 04:15:31,scattered clouds,0.0,0.0
117,Mehamn,71.04,27.85,33.8,86,75,16.11,NO,2020-05-11 04:15:00,broken clouds,0.0,0.0
118,Upernavik,72.79,-56.15,14.05,87,95,10.98,GL,2020-05-11 04:13:33,overcast clouds,0.0,0.0
119,Valparaiso,-33.04,-71.63,59.0,82,6,5.82,CL,2020-05-11 04:15:31,clear sky,0.0,0.0
120,Itarema,-2.92,-39.92,75.87,85,62,7.58,BR,2020-05-11 04:15:32,light rain,0.0,0.0
121,Pojuca,-12.42,-38.33,77.0,88,75,5.82,BR,2020-05-11 04:15:32,broken clouds,0.0,0.0
122,Gizycko,54.04,21.76,55.92,94,95,13.78,PL,2020-05-11 04:15:32,overcast clouds,0.0,0.0
123,Canto Do Buriti,-8.11,-42.94,69.3,87,6,4.43,BR,2020-05-11 04:15:32,clear sky,0.0,0.0
124,Assai,-23.37,-50.84,57.61,90,0,5.5,BR,2020-05-11 04:15:32,clear sky,0.0,0.0
125,Suluq,31.67,20.25,72.39,19,3,14.5,LY,2020-05-11 04:15:33,clear sky,0.0,0.0
126,Souillac,-20.52,57.52,73.4,56,75,11.41,MU,2020-05-11 04:13:41,broken clouds,0.0,0.0
127,Daoukro,7.06,-3.96,74.23,96,96,4.18,CI,2020-05-11 04:15:33,heavy intensity rain,0.0,0.0
128,Pasni,25.26,63.47,83.23,74,11,8.14,PK,2020-05-11 04:15:33,few clouds,0.0,0.0
